/* DATA DESCRIPTION:
Citation:	Westerhold, Thomas (2020): S20. Magnetostratigraphic interpretation of characteristic remanent magnetization for ODP Site 208-1263. PANGAEA, https://doi.org/10.1594/PANGAEA.917718, 
	In: Westerhold, T (2020): Cenozoic global reference benthic carbon and oxygen isotope dataset (CENOGRID). PANGAEA, https://doi.org/10.1594/PANGAEA.917503
Keyword(s):	Cenozoic Climate; Ocean Drilling
Related to:	Westerhold, Thomas; Marwan, Norbert; Drury, Anna Joy; Liebrand, Diederik; Agnini, Claudia; Anagnostou, Eleni; Barnet, James S K; Bohaty, Steven M; De Vleeschouwer, David; Florindo, Fabio; Frederichs, Thomas; Hodell, David A; Holbourn, Ann E; Kroon, Dick; Lauretano, Vittoria; Littler, Kate; Lourens, Lucas Joost; Lyle, Mitchell W; Pälike, Heiko; Röhl, Ursula; Tian, Jun; Wilkens, Roy H; Wilson, Paul A; Zachos, James C (2020): An astronomically dated record of Earth's climate and its predictability over the last 66 million years. Science, 369, 1383-1387, https://doi.org/10.1126/science.aba6853
Project(s):	Ocean Drilling Program (ODP) (URI: http://www-odp.tamu.edu/)
Coverage:	LATITUDE: -28.532950 * LONGITUDE: 2.779567
	DATE/TIME START: 2003-03-29T00:00:00 * DATE/TIME END: 2003-04-05T00:00:00
	MINIMUM DEPTH, sediment/rock: 46.520 m * MAXIMUM DEPTH, sediment/rock: 281.120 m
Event(s):	208-1263 * LATITUDE: -28.532950 * LONGITUDE: 2.779567 * DATE/TIME START: 2003-03-29T00:00:00 * DATE/TIME END: 2003-04-05T00:00:00 * ELEVATION: -2717.1 m * Penetration: 1261.5 m * Recovery: 709.5 m * LOCATION: Walvis Ridge, Southeast Atlantic Ocean * CAMPAIGN: Leg208 (URI: https://doi.org/10.2973/odp.proc.ir.208.2004) * BASIS: Joides Resolution (URI: http://www-odp.tamu.edu/resolutn.html) * METHOD/DEVICE: Composite Core (COMPCORE) * COMMENT: 93 cores; 777.9 m cored; 483.6 m drilled; 91.2 % recovery
Parameter(s):	Sample code/label (Sample label) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	Reference/source (Reference) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	DEPTH, sediment/rock [m] (Depth sed) * GEOCODE * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html) * COMMENT: mbsf
	Depth, composite revised [rmcd] (Depth comp r) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	Depth, composite, adjusted [amcd] (Depth adj mcd) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	Inclination [deg] (Incl) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	Declination [deg] (Decl) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	Maximum angular deviation [deg] (MAD) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	Chronozone (Chronozone) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0)
Size:	6308 data points
*/
Sample label	Reference	Depth sed [m]	Depth comp r [rmcd]	Depth adj mcd [amcd]	Incl [deg]	Decl [deg]	MAD [deg]	Chronozone
208-1263B-7H-5,63	this study INGV	109.620	129.808000	129.808	-66.49	335.28	0.91	C18n.1n
208-1263B-7H-5,83	this study INGV	109.820	130.010000	130.010	-47.89	341.87	2.89	C18n.1n
208-1263B-7H-5,103	this study INGV	110.020	130.213000	130.213	3.63	358.58	5.10	C18n.1n
208-1263B-7H-5,123	this study INGV	110.220	130.416000	130.416	-31.92	356.08	4.00	C18n.1n
208-1263C-3H-1,133	this study INGV	109.400	130.672000	130.554	-52.99	21.77	0.87	C18n.1n
208-1263B-7H-5,143	this study INGV	110.420	130.619000	130.619	-66.51	56.96	1.66	C18n.1n
208-1263B-7H-6,13	this study INGV	111.020	131.223000	131.223	-48.51	62.31	3.15	C18n.1n
208-1263B-7H-6,33	this study INGV	111.220	131.415000	131.415	-40.80	25.67	2.32	C18n.1n
208-1263B-7H-6,53	this study INGV	111.420	131.618000	131.618	-54.75	57.73	1.22	C18n.1n
208-1263B-7H-6,73	this study INGV	111.620	131.820000	131.820	-66.77	103.52	1.26	C18n.1n
208-1263B-7H-6,93	this study INGV	111.820	132.023000	132.023	-57.61	38.81	0.98	C18n.1n
208-1263C-3H-2,13	this study INGV	110.620	132.113000	132.113	-68.27	304.88	2.16	C18n.1n
208-1263B-7H-6,113	this study INGV	112.020	132.226000	132.228	-65.87	79.00	1.47	C18n.1n
208-1263C-3H-2,33	this study INGV	110.820	132.301000	132.301	-52.99	303.37	1.44	C18n.1n
208-1263B-7H-6,133	this study INGV	112.220	132.422000	132.428	-47.96	38.16	0.87	C18n.1n
208-1263C-3H-2,53	this study INGV	111.020	132.515000	132.515	-72.06	263.63	5.86	C18n.1n
208-1263C-3H-2,73	this study INGV	111.220	132.707000	132.707	-62.80	340.20	2.35	C18n.1n
208-1263C-3H-2,93	this study INGV	111.420	132.905000	132.905	-77.34	290.57	2.62	C18n.1n
208-1263C-3H-2,113	this study INGV	111.620	133.106000	133.106	-48.82	267.25	4.78	C18n.1n
208-1263C-3H-2,133	this study INGV	111.820	133.310000	133.310	-65.84	303.29	4.23	C18n.1n
208-1263C-3H-3,3	this study INGV	112.020	133.500000	133.500	-54.25	222.23	1.47	C18n.1n
208-1263C-3H-3,23	this study INGV	112.220	133.722000	133.722	-65.59	258.99	2.02	C18n.1n
208-1263C-3H-3,43	this study INGV	112.420	133.907000	133.907	-69.70	269.59	1.35	C18n.1n
208-1263C-3H-3,63	this study INGV	112.620	134.091000	134.091	-64.41	254.99	1.67	C18n.1n
208-1263C-3H-3,83	this study INGV	112.820	134.320000	134.320	-63.00	292.45	1.32	C18n.1n
208-1263B-8H-1,51	this study INGV	113.000	134.462000	134.364	-25.90	-22.10	9.50	C18n.1n
208-1263B-8H-1,53	this study INGV	113.020	134.483000	134.385	-18.20	-35.40	2.90	C18n.1n
208-1263C-3H-3,103	this study INGV	113.020	134.515000	134.515	-62.64	245.87	1.32	C18n.1n
208-1263C-3H-3,123	this study INGV	113.220	134.699000	134.699	-52.78	265.35	1.58	C18n.1n
208-1263C-3H-3,143	this study INGV	113.420	134.922000	134.922	-55.95	295.79	0.84	C18n.1n
208-1263C-3H-4,13	this study INGV	113.620	135.117000	135.117	-65.80	282.57	1.67	C18n.1n
208-1263C-3H-4,33	this study INGV	113.820	135.301000	135.301	-66.39	284.96	1.54	C18n.1n
208-1263B-8H-1,143	this study INGV	113.920	135.484000	135.484	-27.24	330.13	2.20	C18n.1n
208-1263C-3H-4,53	this study INGV	114.020	135.519000	135.530	-46.49	257.18	3.21	C18n.1n
208-1263B-8H-2,13	this study INGV	114.120	135.693000	135.693	5.11	354.65	1.22	C18n.1n/C18n.1r
208-1263B-8H-2,33	this study INGV	114.320	135.896000	135.896	-10.67	8.42	1.69	C18n.1n/C18n.1r
208-1263B-8H-2,49	this study INGV	114.480	136.058000	136.058	0.62	175.16	1.50	C18n.1n/C18n.1r
208-1263B-8H-2,53	this study INGV	114.520	136.099000	136.099	35.30	14.60	5.60	C18n.1r
208-1263B-8H-2,55	this study INGV	114.540	136.118000	136.118	-10.70	5.80	3.40	C18n.1r
208-1263B-8H-2,73	this study INGV	114.720	136.301000	136.301	26.51	24.89	1.52	C18n.1r
208-1263B-8H-2,93	this study INGV	114.920	136.503000	136.503	12.44	1.21	1.47	C18n.1r
208-1263B-8H-2,113	this study INGV	115.120	136.707000	136.707	30.60	337.56	0.93	C18n.1r
208-1263B-8H-2,133	this study INGV	115.320	136.909000	136.909	15.24	359.05	0.66	C18n.1r
208-1263B-8H-3,3	this study INGV	115.520	137.110000	137.110	-8.32	347.09	1.57	C18n.1r(C18n.2n
208-1263B-8H-3,23	this study INGV	115.720	137.292000	137.292	1.70	354.22	0.66	C18n.1r(C18n.2n
208-1263B-8H-3,43	this study INGV	115.920	137.496000	137.496	-24.01	342.70	1.21	C18n.2n
208-1263B-8H-3,51	this study INGV	116.000	137.576000	137.576	-18.80	-32.00	7.00	C18n.2n
208-1263B-8H-3,53	this study INGV	116.020	137.596000	137.596	-23.20	-16.10	1.30	C18n.2n
208-1263B-8H-3,63	this study INGV	116.120	137.698000	137.698	-20.59	353.88	1.32	C18n.2n
208-1263B-8H-3,83	this study INGV	116.320	137.901000	137.901	-1.69	349.64	0.76	C18n.2n
208-1263B-8H-3,103	this study INGV	116.520	138.104000	138.104	-8.34	344.71	0.82	C18n.2n
208-1263B-8H-3,123	this study INGV	116.720	138.306000	138.306	-1.31	351.58	0.97	C18n.2n
208-1263B-8H-3,143	this study INGV	116.920	138.495000	138.495	12.04	350.13	1.23	C18n.2n
208-1263B-8H-4,13	this study INGV	117.120	138.694000	138.694	-2.94	333.14	0.88	C18n.2n
208-1263B-8H-4,33	this study INGV	117.320	138.896000	138.896	-26.17	332.26	1.80	C18n.2n
208-1263B-8H-4,49	this study INGV	117.480	139.059000	139.059	-21.16	324.14	1.96	C18n.2n
208-1263B-8H-4,51	this study INGV	117.500	139.079000	139.079	-46.60	336.80	2.30	C18n.2n
208-1263A-14H-2,27	this study INGV	118.060	139.105000	139.099	-12.62	27.92	4.86	C18n.2n
208-1263B-8H-4,53	this study INGV	117.520	139.099000	139.099	-31.20	-41.80	3.10	C18n.2n
208-1263A-14H-2,47	this study INGV	118.260	139.280000	139.280	-21.66	21.77	1.34	C18n.2n
208-1263B-8H-4,73	this study INGV	117.720	139.302000	139.323	9.10	7.48	0.72	C18n.2n
208-1263A-14H-2,67	this study INGV	118.460	139.487000	139.487	-23.55	5.04	1.08	C18n.2n
208-1263A-14H-2,87	this study INGV	118.660	139.697000	139.697	-47.90	10.84	1.90	C18n.2n
208-1263A-14H-2,107	this study INGV	118.860	139.905000	139.905	-28.18	29.99	2.67	C18n.2n
208-1263A-14H-2,117	this study UniBremen	118.970	140.000000	140.000	-49.00	129.50	2.24	C18n.2n
208-1263A-14H-2,125	this study INGV	119.040	140.093000	140.093	-42.91	60.24	1.92	C18n.2n
208-1263A-14H-2,147	this study INGV	119.260	140.288000	140.288	-0.12	192.37	1.53	C18n.2n
208-1263A-14H-3,17	this study INGV	119.460	140.496000	140.496	-4.87	355.93	1.58	C18n.2n
208-1263A-14H-3,37	this study INGV	119.660	140.705000	140.705	-11.22	359.53	3.13	C18n.2n
208-1263B-8H-5,51	this study INGV	119.000	140.680000	140.800	-49.20	351.90	2.40	C18n.2n
208-1263B-8H-5,53	this study INGV	119.020	140.700000	140.820	-27.00	0.80	2.00	C18n.2n
208-1263A-14H-3,57	this study INGV	119.860	140.913000	140.913	-6.21	353.51	1.81	C18n.2n
208-1263A-14H-3,67	this study UniBremen	119.970	141.000000	141.000	-37.20	44.50	1.45	C18n.2n
208-1263A-14H-3,77	this study UniBremen	120.070	141.100000	141.100	-19.50	41.60	3.42	C18n.2n
208-1263A-14H-3,77	this study INGV	120.060	141.116000	141.116	-14.34	344.76	4.39	C18n.2n
208-1263A-14H-3,87	this study UniBremen	120.170	141.200000	141.200	-25.20	55.80	4.82	C18n.2n
208-1263A-14H-3,97	this study INGV	120.260	141.295000	141.295	-3.08	342.89	2.76	C18n.2n
208-1263A-14H-3,97	this study UniBremen	120.270	141.300000	141.300	-17.80	45.30	3.63	C18n.2n
208-1263A-14H-3,107	this study UniBremen	120.370	141.400000	141.400	18.70	17.40	4.74	C18r
208-1263A-14H-4,5	this study UniBremen	120.470	141.500000	141.500	18.30	10.40	4.77	C18r
208-1263A-14H-4,5	this study INGV	120.460	141.505000	141.505	-8.79	349.32	0.75	C18r
208-1263A-14H-4,15	this study UniBremen	120.570	141.600000	141.600	23.60	359.50	2.06	C18r
208-1263A-14H-4,25	this study INGV	120.660	141.696000	141.696	3.73	349.22	0.99	C18r
208-1263A-14H-4,25	this study UniBremen	120.670	141.700000	141.700	24.80	349.60	4.12	C18r
208-1263A-14H-4,35	this study UniBremen	120.770	141.800000	141.800	28.70	12.90	1.81	C18r
208-1263A-14H-4,36	Bowles2006	120.780	141.810000	141.810	29.40	214.80	1.90	C18r
208-1263A-14H-4,43	this study INGV	120.840	141.884000	141.884	4.38	344.88	0.73	C18r
208-1263A-14H-4,45	this study UniBremen	120.870	141.900000	141.900	21.00	9.40	2.25	C18r
208-1263A-14H-5,8	this study UniBremen	120.970	142.000000	142.000	55.00	44.30	0.73	C18r
208-1263B-8H-6,53	this study INGV	120.520	142.076000	142.062	-29.70	-29.60	3.70	C18r
208-1263A-14H-5,18	this study INGV	121.060	142.114000	142.114	-1.23	351.55	0.99	C18r
208-1263A-14H-5,38	this study INGV	121.260	142.318000	142.318	-9.93	353.29	3.24	C18r
208-1263A-14H-5,58	this study INGV	121.460	142.485000	142.485	5.25	348.46	0.86	C18r
208-1263A-14H-5,78	this study INGV	121.660	142.685000	142.685	22.79	352.15	0.72	C18r
208-1263A-14H-5,98	this study INGV	121.860	142.895000	142.895	19.43	342.70	1.06	C18r
208-1263A-14H-5,108	this study UniBremen	121.970	143.000000	143.000	51.80	6.60	3.97	C18r
208-1263A-14H-5,118	this study INGV	122.060	143.104000	143.104	11.02	348.27	1.01	C18r
208-1263A-14H-5,138	this study INGV	122.260	143.313000	143.313	12.53	1.07	1.34	C18r
208-1263B-8H-7,51	this study INGV	122.000	143.563000	143.570	72.00	54.30	6.90	C18r
208-1263B-8H-7,53	this study INGV	122.020	143.585000	143.594	68.60	9.60	2.50	C18r
208-1263A-14H-6,28	this study INGV	122.660	143.695000	143.695	73.50	164.20	1.50	C18r
208-1263A-14H-6,52	Bowles2006	122.910	143.940000	143.940	35.40	217.00	2.90	C18r
208-1263A-14H-6,60	this study UniBremen	122.950	143.980000	143.980	7.10	6.40	1.87	C18r
208-1263A-14H-CC,9	this study UniBremen	123.970	145.000000	144.997	59.90	137.90	1.42	C18r
208-1263B-9H-1,51	this study INGV	122.500	145.731000	145.731	10.70	4.60	2.60	C18r
208-1263B-9H-1,53	this study INGV	122.520	145.751000	145.751	34.20	357.10	2.60	C18r
208-1263B-9H-1,75	this study UniBremen	122.750	145.980000	145.980	63.90	175.60	2.72	C18r
208-1263B-9H-2,25	this study UniBremen	123.750	146.980000	146.980	53.60	5.10	1.77	C18r
208-1263B-9H-2,51	this study INGV	124.000	147.229000	147.229	52.50	-45.50	2.00	C18r
208-1263B-9H-2,53	this study INGV	124.020	147.249000	147.249	38.00	296.60	2.60	C18r
208-1263B-9H-2,128	this study UniBremen	124.760	147.990000	147.990	58.00	136.70	2.03	C18r
208-1263B-9H-3,51	this study INGV	125.500	148.731000	148.731	35.90	-21.20	2.60	C18r
208-1263B-9H-3,53	this study INGV	125.520	148.751000	148.751	-8.20	-14.50	3.00	C18r
208-1263B-9H-3,75	this study UniBremen	125.750	148.980000	148.980	52.70	139.10	1.77	C18r
208-1263A-15H-1,52	Bowles2006	126.320	150.050000	149.554	75.80	102.50	2.50	C18r
208-1263B-9H-4,25	this study UniBremen	126.750	149.980000	149.980	63.60	90.00	3.51	C18r
208-1263B-9H-4,51	this study INGV	127.000	150.225000	150.225	41.70	-11.00	9.50	C18r
208-1263B-9H-4,53	this study INGV	127.020	150.245000	150.245	-13.20	-6.70	1.90	C18r
208-1263A-15H-1,147	this study UniBremen	127.270	151.000000	151.000	47.90	148.30	2.95	C18r
208-1263A-15H-2,7	this study UniBremen	127.370	151.100000	151.100	51.30	56.50	4.05	C18r
208-1263A-15H-2,17	this study UniBremen	127.470	151.200000	151.200	33.20	54.40	3.98	C18r
208-1263A-15H-2,27	this study UniBremen	127.570	151.300000	151.300	56.50	26.00	4.41	C18r
208-1263A-15H-2,37	this study UniBremen	127.670	151.400000	151.400	-12.90	18.50	4.36	C18r/C19n
208-1263A-15H-2,47	this study UniBremen	127.770	151.500000	151.500	8.00	8.50	6.06	C18r/C19n
208-1263A-15H-2,57	this study UniBremen	127.870	151.600000	151.600	20.50	285.20	9.61	C18r/C19n
208-1263A-15H-2,67	this study UniBremen	127.970	151.700000	151.700	-14.80	312.80	3.24	C18r/C19n
208-1263A-15H-2,77	this study UniBremen	128.070	151.800000	151.800	25.60	283.90	3.76	C18r/C19n
208-1263B-9H-5,51	this study INGV	128.500	151.803000	151.873	-61.40	159.20	2.90	C19n
208-1263B-9H-5,53	this study INGV	128.520	151.824000	151.894	-50.80	220.40	5.70	C19n
208-1263A-15H-2,87	this study UniBremen	128.170	151.900000	151.900	-35.40	335.90	1.54	C19n
208-1263A-15H-2,93	this study UniBremen	128.230	151.960000	151.960	-43.90	98.10	2.77	C19n
208-1263A-15H-2,97	this study UniBremen	128.270	152.100000	152.100	60.30	2.50	2.38	C19n
208-1263A-15H-2,107	this study UniBremen	128.370	152.200000	152.200	-43.00	288.20	3.83	C19n
208-1263A-15H-2,117	this study UniBremen	128.470	152.300000	152.300	-34.80	277.40	4.42	C19n
208-1263A-15H-2,127	this study UniBremen	128.570	152.400000	152.400	-60.20	280.40	1.09	C19n
208-1263A-15H-2,137	this study UniBremen	128.670	152.500000	152.500	-25.20	8.00	4.16	C19n
208-1263A-15H-2,147	this study UniBremen	128.770	152.600000	152.600	54.10	34.50	4.52	C19r
208-1263A-15H-3,7	this study UniBremen	128.870	152.700000	152.700	24.10	34.40	2.96	C19r
208-1263A-15H-3,17	this study UniBremen	128.970	152.800000	152.800	37.00	44.30	4.81	C19r
208-1263A-15H-3,27	this study UniBremen	129.070	152.900000	152.900	29.10	80.80	4.33	C19r
208-1263A-15H-3,42	this study UniBremen	129.220	152.950000	152.950	54.70	92.10	4.32	C19r
208-1263A-15H-3,52	Bowles2006	129.320	153.050000	153.050	63.10	153.10	3.20	C19r
208-1263B-9H-6,46	this study INGV	129.950	153.194000	153.210	68.70	79.20	3.60	C19r
208-1263A-15H-3,147	this study UniBremen	130.270	154.000000	154.000	38.10	55.60	3.85	C19r
208-1263A-15H-4,50	this study INGV	130.790	154.531000	154.531	35.80	169.10	2.00	C19r
208-1263B-9H-7,50	this study INGV	131.490	154.687000	154.657	73.30	12.70	4.10	C19r
208-1263A-15H-4,91	Westerhold et al. 2015	131.210	154.940000	154.940	61.90	245.70	3.31	C19r
208-1263A-15H-4,100	this study UniBremen	131.240	154.970000	154.970	32.50	132.60	2.14	C19r
208-1263B-10H-1,40	Westerhold et al. 2015	131.900	155.940000	155.940	42.40	159.50	5.93	C19r
208-1263A-15H-5,47	this study INGV	132.260	155.991000	155.994	57.10	169.00	1.90	C19r
208-1263A-15H-5,49	this study INGV	132.280	156.007000	156.011	79.30	129.00	3.40	C19r
208-1263A-15H-5,52	Bowles2006	132.320	156.050000	156.057	27.60	180.60	4.40	C19r
208-1263B-10H-1,140	Westerhold et al. 2015	132.900	156.940000	156.940	52.10	75.20	3.79	C19r
208-1263A-15H-6,49	this study INGV	133.780	157.734000	157.888	69.00	125.40	3.20	C19r
208-1263B-10H-2,90	Westerhold et al. 2015	133.900	157.940000	157.940	3.80	11.30	7.14	C19r
208-1263A-15H-7,27	this study INGV	134.760	158.636000	158.691	44.70	153.00	1.00	C19r
208-1263A-15H-7,29	this study INGV	134.780	158.649000	158.710	72.00	158.60	1.50	C19r
208-1263A-15H-7,52	Bowles2006	135.020	158.750000	158.843	58.40	115.90	2.60	C19r
	BELOW PUBLISHED in WESTERHOLD et al. 2017							
	Westerhold et al. 2015	132.900	156.940000	156.940	52.10	75.20	3.79	C19r
	Westerhold et al. 2015	133.900	157.940000	157.940	3.80	11.30	7.14	C19r
	Bowles2006	135.020	158.750000	158.843	58.40	115.90	2.60	C19r
	Westerhold et al. 2015	134.900	158.940000	158.940	48.10	32.90	4.96	C19r
	Westerhold et al. 2015	135.900	159.940000	159.940	80.20	93.30	3.27	C19r
	Westerhold et al. 2015	136.100	160.140000	160.140	56.30	307.50	2.55	C19r
	Westerhold et al. 2015	136.300	160.340000	160.340	65.30	43.60	4.20	C19r
	Westerhold et al. 2015	136.500	160.540000	160.540	-48.70	279.40	8.43	C20n
	Westerhold et al. 2015	136.700	160.740000	160.740	-64.00	224.30	4.00	C20n
	Westerhold et al. 2015	136.900	160.940000	160.940	-80.80	272.70	5.20	C20n
	Westerhold et al. 2015	137.900	161.940000	161.961	-49.30	223.90	4.86	C20n
	Westerhold et al. 2015	137.810	162.940000	162.940	-42.40	112.10	5.42	C20n
	Westerhold et al. 2015	138.810	163.940000	163.940	-37.00	170.30	2.62	C20n
	Westerhold et al. 2015	139.810	164.940000	164.940	-9.80	160.50	3.15	C20n
	Bowles2006	140.320	165.450000	165.450	-0.60	220.90	1.90	C20n
	Westerhold et al. 2015	140.810	165.940000	165.940	-20.80	114.90	5.51	C20n
	Westerhold et al. 2015	141.810	166.940000	166.940	-45.00	155.80	3.00	C20n
	Westerhold et al. 2015	142.810	167.940000	167.940	-29.20	159.80	2.01	C20n
	Westerhold et al. 2015	143.910	168.940000	168.940	-20.70	245.00	3.67	C20n
	Westerhold et al. 2015	144.910	169.940000	169.940	-24.40	247.10	4.04	C20n
	Westerhold et al. 2015	145.910	170.940000	170.940	-35.80	212.70	1.69	C20n
	Westerhold et al. 2015	146.910	171.940000	171.940	-46.20	161.10	5.00	C20n
	Westerhold et al. 2015	147.110	172.140000	172.140	37.00	189.30	5.75	C20r
	Westerhold et al. 2015	147.310	172.340000	172.340	27.50	259.20	4.72	C20r
	Westerhold et al. 2015	147.510	172.540000	172.540	66.60	269.70	4.24	C20r
	Westerhold et al. 2015	147.710	172.740000	172.740	-4.70	213.80	5.59	C20r
	Westerhold et al. 2015	147.910	172.940000	172.940	71.00	134.70	2.06	C20r
	Westerhold et al. 2015	148.910	173.940000	173.940	54.20	117.20	7.19	C20r
	Westerhold et al. 2015	148.600	174.940000	174.940	-56.90	3.20	6.71	C20r
	Westerhold et al. 2015	149.600	175.940000	175.940	64.80	341.30	3.44	C20r
	Westerhold et al. 2015	150.600	176.940000	176.940	70.80	312.50	3.50	C20r
	Westerhold et al. 2015	151.600	177.940000	177.940	16.30	315.30	4.98	C20r
	Westerhold et al. 2015	152.740	178.940000	178.940	-14.70	296.40	5.07	C20r
	Westerhold et al. 2015	153.740	179.940000	179.940	45.80	23.40	6.64	C20r
	Westerhold et al. 2015	154.740	180.940000	180.940	14.30	313.80	3.71	C20r
	Westerhold et al. 2015	155.740	181.940000	181.940	-9.30	53.90	1.63	C20r
	Westerhold et al. 2015	156.740	182.940000	182.940	12.80	295.30	1.47	C20r
	Westerhold et al. 2015	180.440	183.940000	183.940	86.50	228.40	4.43	C20r
	Westerhold et al. 2015	181.440	184.940000	184.940	79.60	140.70	3.54	C20r
	Westerhold et al. 2015	182.440	185.940000	185.940	53.20	145.50	2.46	C20r
	Westerhold et al. 2015	183.440	186.940000	186.940	73.00	51.20	3.73	C20r
	Westerhold et al. 2015	184.440	187.940000	187.940	72.80	122.20	2.37	C20r
	Westerhold et al. 2015	160.770	188.940000	188.940	82.60	339.80	2.27	C20r
	Westerhold et al. 2015	161.770	189.940000	189.940	62.90	131.60	2.62	C20r
	Westerhold et al. 2015	162.770	190.940000	190.940	44.00	147.80	5.50	C20r
	Westerhold et al. 2015	163.770	191.940000	191.940	47.80	121.90	2.29	C20r
	Westerhold et al. 2015	164.770	192.940000	192.940	49.20	146.50	5.53	C20r
	Bowles2006	164.320	193.380000	193.377	44.30	163.30	3.00	C20r
	Westerhold et al. 2015	165.770	193.940000	193.940	69.40	253.30	6.58	C20r
	Westerhold et al. 2015	165.880	194.940000	194.940	29.70	225.40	4.32	C20r
	Westerhold et al. 2015	166.880	195.940000	195.940	53.40	296.00	3.73	C20r
	Bowles2006	167.320	196.380000	196.380	18.80	167.50	1.90	C20r
	Westerhold et al. 2015	167.880	196.940000	196.940	49.10	141.10	4.85	C20r
	Westerhold et al. 2015	168.880	197.940000	197.940	28.10	159.40	4.08	C20r
	Westerhold et al. 2015	169.880	198.940000	198.940	47.50	321.90	4.63	C20r
	Bowles2006	170.320	199.380000	199.380	-9.80	156.90	1.50	C20r
	Westerhold et al. 2015	170.880	199.940000	199.938	35.40	355.10	3.83	C20r
	Westerhold et al. 2015	170.270	199.940000	199.940	39.60	305.40	3.85	C20r/C21n
	Westerhold et al. 2015	170.470	200.140000	200.140	-43.50	259.10	5.98	C20r/C21n
	Westerhold et al. 2015	170.670	200.340000	200.340	-22.40	238.10	8.95	C20r/C21n
	Westerhold et al. 2015	170.870	200.540000	200.540	-9.40	279.20	5.30	C20r/C21n
	Westerhold et al. 2015	171.020	200.740000	200.740	-29.70	259.50	5.37	C20r/C21n
	Westerhold et al. 2015	171.260	200.940000	200.940	-28.60	249.00	8.08	C20r/C21n
	Westerhold et al. 2015	171.470	201.140000	201.140	-82.10	270.80	1.53	C21n
	Westerhold et al. 2015	172.270	201.940000	201.940	-67.00	300.20	5.06	C21n
	Westerhold et al. 2015	173.270	202.940000	202.940	23.80	305.10	6.32	C21n
	Westerhold et al. 2015	174.270	203.940000	203.940	-57.70	301.90	3.48	C21n
	Westerhold et al. 2015	175.270	204.940000	204.940	-32.90	344.60	5.94	C21n
	Westerhold et al. 2015	176.270	205.940000	205.940	-74.00	315.80	3.37	C21n
	Bowles2006	174.670	206.030000	206.060	-6.20	134.20	1.50	C21n
	Westerhold et al. 2015	175.580	206.940000	206.940	-18.00	238.80	1.82	C21n
	Westerhold et al. 2015	176.580	207.940000	207.940	10.30	212.40	7.42	C21n
	Westerhold et al. 2015	177.580	208.940000	208.940	-0.40	256.30	2.36	C21n
	Bowles2006	177.620	208.980000	208.980	-6.10	125.30	3.30	C21n
	Westerhold et al. 2015	178.580	209.940000	209.940	8.70	238.20	2.37	C21n
	Westerhold et al. 2015	180.200	211.050000	211.043	-40.40	143.90	2.69	C21n
	Westerhold et al. 2015	181.090	211.940000	211.940	-8.70	124.40	2.05	C21n
	Westerhold et al. 2015	182.090	212.940000	212.940	-18.50	216.90	6.38	C21n
	Westerhold et al. 2015	183.090	213.940000	213.940	-15.70	147.00	3.79	C21n
	Westerhold et al. 2015	184.090	214.940000	214.940	-36.70	146.00	3.79	C21n
	Westerhold et al. 2015	184.890	215.740000	215.740	-46.00	169.50	1.14	C21n
	Westerhold et al. 2015	185.090	215.940000	215.940	-44.80	158.50	4.67	C21n
	Westerhold et al. 2015	185.290	216.140000	216.140	-36.70	158.30	2.17	C21n
	Westerhold et al. 2015	185.490	216.340000	216.340	-12.00	155.10	2.72	C21n/C21r
	Westerhold et al. 2015	185.690	216.540000	216.540	-6.90	147.60	2.07	C21n/C21r
	Westerhold et al. 2015	185.890	216.740000	216.740	16.50	170.60	3.59	C21n/C21r
	Westerhold et al. 2015	186.090	216.940000	216.933	5.70	169.80	1.20	C21n/C21r
	Westerhold et al. 2015	183.110	216.940000	216.940	11.90	260.40	2.26	C21n/C21r
	Westerhold et al. 2015	186.290	217.140000	217.100	-25.30	145.50	4.49	C21n/C21r
	Westerhold et al. 2015	186.490	217.340000	217.267	-12.70	148.60	6.08	C21n/C21r
	Bowles2006	183.780	217.610000	217.610	13.30	165.50	7.50	C21n/C21r
	Westerhold et al. 2015	184.110	217.940000	217.940	46.60	251.30	3.14	C21r
