/* DATA DESCRIPTION:
Citation:	Westerhold, Thomas (2020): S24. Age model of ODP Site 154-926 Ceara Rise. PANGAEA, https://doi.org/10.1594/PANGAEA.917570, 
	In: Westerhold, T (2020): Cenozoic global reference benthic carbon and oxygen isotope dataset (CENOGRID). PANGAEA, https://doi.org/10.1594/PANGAEA.917503
Keyword(s):	Cenozoic Climate; Ocean Drilling
Related to:	Westerhold, Thomas; Marwan, Norbert; Drury, Anna Joy; Liebrand, Diederik; Agnini, Claudia; Anagnostou, Eleni; Barnet, James S K; Bohaty, Steven M; De Vleeschouwer, David; Florindo, Fabio; Frederichs, Thomas; Hodell, David A; Holbourn, Ann E; Kroon, Dick; Lauretano, Vittoria; Littler, Kate; Lourens, Lucas Joost; Lyle, Mitchell W; Pälike, Heiko; Röhl, Ursula; Tian, Jun; Wilkens, Roy H; Wilson, Paul A; Zachos, James C (2020): An astronomically dated record of Earth's climate and its predictability over the last 66 million years. Science, 369, 1383-1387, https://doi.org/10.1126/science.aba6853
Project(s):	Ocean Drilling Program (ODP) (URI: http://www-odp.tamu.edu/)
Coverage:	LATITUDE: 3.719017 * LONGITUDE: -42.908300
	DATE/TIME START: 1994-02-19T00:00:00 * DATE/TIME END: 1994-02-27T00:00:00
	MINIMUM DEPTH, sediment/rock: 0.000 m * MAXIMUM DEPTH, sediment/rock: 282.320 m
Event(s):	154-926 * LATITUDE: 3.719017 * LONGITUDE: -42.908300 * DATE/TIME START: 1994-02-19T00:00:00 * DATE/TIME END: 1994-02-27T00:00:00 * ELEVATION: -3610.0 m * Penetration: 1331.1 m * Recovery: 1322.4 m * LOCATION: South Atlantic Ocean * CAMPAIGN: Leg154 (URI: https://doi.org/10.2973/odp.proc.ir.154.1995) * BASIS: Joides Resolution (URI: http://www-odp.tamu.edu/resolutn.html) * METHOD/DEVICE: Composite Core (COMPCORE) * COMMENT: 141 cores; 1330.6 m cored; 0 m drilled; 99.4% recovery
Parameter(s):	Sample code/label (Sample label) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	DEPTH, sediment/rock [m] (Depth sed) * GEOCODE * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html) * COMMENT: mbsf
	Depth, composite revised [rmcd] (Depth comp r) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	Tuned time [Ma] (Tuned time) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	Reference/source (Reference) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0)
Size:	2500 data points
*/
Sample label	Depth sed [m]	Depth comp r [rmcd]	Tuned time [Ma]	Reference
154-926C-26H-4,106	243.560	260.76	11.891	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926C-26H-4,131	243.810	261.01	11.914	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926C-26H-5,44	244.440	261.64	11.962	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926C-26H-5,108	245.080	262.28	12.006	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926C-26H-5,140	245.400	262.60	12.028	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926C-26H-6,24	245.740	262.94	12.051	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926C-26H-6,68	246.180	263.38	12.079	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926C-26H-6,130	246.800	264.00	12.121	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926C-27H-1,64	248.140	264.65	12.172	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926C-27H-1,132	248.820	265.33	12.205	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926C-27H-2,18	249.180	265.68	12.227	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926C-27H-2,70	249.700	266.21	12.249	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926C-27H-2,105	250.050	266.55	12.272	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926C-27H-2,135	250.350	266.86	12.292	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926C-27H-3,29	250.790	267.30	12.319	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926C-27H-3,54	251.040	267.55	12.340	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926C-27H-3,85	251.350	267.86	12.364	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926C-27H-3,114	251.640	268.15	12.385	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926C-27H-3,146	251.960	268.46	12.408	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926C-27H-4,29	252.290	268.80	12.434	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926C-27H-4,54	252.540	269.05	12.454	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926C-27H-4,80	252.800	269.30	12.478	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926C-27H-5,133	254.830	271.33	12.606	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926C-27H-6,18	255.180	271.68	12.626	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926C-27H-6,55	255.550	272.05	12.649	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926B-27H-3,89	248.390	272.40	12.669	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926B-27H-3,145	248.950	272.96	12.698	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926B-27H-4,32	249.320	273.33	12.719	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926B-27H-4,68	249.680	273.68	12.741	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926B-27H-4,114	250.140	274.15	12.763	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926B-27H-5,49	250.990	274.99	12.813	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926B-27H-5,82	251.320	275.33	12.833	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926A-28H-1,108	252.080	275.71	12.856	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926A-28H-1,139	252.390	276.03	12.876	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926A-28H-2,36	252.860	276.49	12.908	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926A-28H-2,113	253.630	277.27	12.928	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926A-28H-3,5	254.050	277.68	12.948	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926A-28H-3,39	254.390	278.03	12.970	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926A-28H-3,115	255.150	278.79	13.018	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926A-28H-4,8	255.580	279.21	13.040	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926A-28H-4,42	255.920	279.56	13.057	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926A-28H-4,121	256.710	280.35	13.092	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926A-28H-5,7	257.070	280.71	13.112	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926A-28H-5,33	257.330	280.96	13.133	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926A-28H-5,55	257.550	281.18	13.154	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926A-28H-5,76	257.760	281.40	13.174	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926A-28H-5,113	258.130	281.77	13.207	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926A-28H-5,138	258.380	282.02	13.226	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926A-28H-6,27	258.770	282.40	13.248	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926A-28H-6,58	259.080	282.71	13.267	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926A-28H-6,143	259.930	283.57	13.322	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926B-28H-4,126	259.760	283.77	13.341	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926B-28H-6,8	260.420	284.42	13.379	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926B-29H-1,95	259.950	284.72	13.398	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926B-29H-1,121	260.210	284.98	13.418	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926B-29H-2,118	261.680	286.45	13.492	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926B-29H-2,145	261.950	286.72	13.512	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926B-29H-3,28	262.280	287.05	13.534	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926B-29H-3,126	263.260	288.03	13.584	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926B-29H-4,29	263.790	288.56	13.606	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926B-29H-4,66	264.160	288.93	13.626	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926B-29H-4,106	264.560	289.33	13.648	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926B-29H-5,4	265.040	289.81	13.667	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926A-29H-5,13	266.630	290.46	13.691	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926A-29H-5,55	267.050	290.88	13.713	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926A-29H-5,113	267.630	291.46	13.733	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926A-29H-6,13	268.130	291.96	13.752	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926A-29H-6,108	269.080	292.90	13.787	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926A-29H-7,18	269.680	293.51	13.809	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926C-30H-1,47	273.770	295.36	13.902	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926C-30H-1,88	274.180	295.77	13.926	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926C-30H-1,133	274.630	296.22	13.949	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926C-30H-2,31	275.110	296.70	13.974	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926C-30H-2,69	275.490	297.08	13.996	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926C-30H-2,106	275.860	297.45	14.017	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926C-30H-3,79	277.090	298.68	14.090	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926C-30H-3,112	277.420	299.01	14.108	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926C-30H-4,12	277.920	299.51	14.132	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926C-30H-4,41	278.210	299.80	14.147	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926C-30H-4,104	278.840	300.43	14.170	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926C-30H-5,12	279.420	301.01	14.215	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926C-30H-5,49	279.790	301.38	14.239	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926C-30H-5,75	280.050	301.64	14.259	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926C-30H-6,5	280.850	302.44	14.304	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926C-30H-6,49	281.290	302.88	14.329	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926C-30H-6,96	281.760	303.35	14.350	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926C-30H-7,2	282.320	303.91	14.374	Zeeden et al. 2013 updated in Wilkens et al. 2017
